AGE2,ALCDAYS,ALCDAYS,,,,AGE2,ALCDAYS,ALCDAYS,,,,,,,,,,,,,,,,,,,7,4910,4910,,,,,,,,,1,12,,1,12,,,,,,,,,,,,1,12,,1,12
18,91,1963,,,,65+,91,594,,594,,,,,,,13,13,,,,,,,,,8,4780,"4910, 4780",,,,,,,,,2,2,,"1, 2","12, 2",,,,,,,,,,,,2,2,,"1, 2","12, 2"
18,93,1491,,,,65+,93,1526,,"594, 1526",,,,,,,34,"13, 34",,,,,,,,,9,4911,"4910, 4780, 4911",,,,,,,,,3,9,,"1, 2, 3","12, 2, 9",,,,,,,,,,,,3,9,,"1, 2, 3","12, 2, 9"
18,1,398,,,,65+,1,302,,"594, 1526, 302",,,,,,,7,"13, 34, 7",,,,,,,,,10,4964,"4910, 4780, 4911, 4964",,,,,,,15.0      7044,,4,40,,"1, 2, 3, 4","12, 2, 9, 40",,,,,,,,,,,,4,40,,"1, 2, 3, 4","12, 2, 9, 40"
18,2,302,,,,65+,2,287,,"594, 1526, 302, 287",,,,,,,6,"13, 34, 7, 6",,,,,,,,,11,10370,"4910, 4780, 4911, 4964, 10370",,,,,,,,,5,133,,"1, 2, 3, 4, 5","12, 2, 9, 40, 133",,,,,,,,,,,,5,133,,"1, 2, 3, 4, 5","12, 2, 9, 40, 133"
18,3,221,,,,65+,3,217,,"594, 1526, 302, 287, 217",,,,,,,5,"13, 34, 7, 6, 5",,,,,,,,,12,10927,"4910, 4780, 4911, 4964, 10370, 10927",,,,,,,,,6,174,,"1, 2, 3, 4, 5, 6","12, 2, 9, 40, 133, 174",,,,,,,,,,,,6,174,,"1, 2, 3, 4, 5, 6","12, 2, 9, 40, 133, 174"
18,4,139,,,,65+,4,205,,"594, 1526, 302, 287, 217, 205",,,,,,,5,"13, 34, 7, 6, 5, 5",,,,,,,,,13,11589,"4910, 4780, 4911, 4964, 10370, 10927, 11589",,,,,,,,,7,246,,"1, 2, 3, 4, 5, 6, 7","12, 2, 9, 40, 133, 174, 246",,,,,,,,,,,,7,246,,"1, 2, 3, 4, 5, 6, 7","12, 2, 9, 40, 133, 174, 246"
18,5,110,,,,65+,5,153,,"594, 1526, 302, 287, 217, 205, 153",,,,,,,3,"13, 34, 7, 6, 5, 5, 3",,,,,,,,,14,14150,"4910, 4780, 4911, 4964, 10370, 10927, 11589, 14150",,,,,,,,,8,541,,"1, 2, 3, 4, 5, 6, 7, 8","12, 2, 9, 40, 133, 174, 246, 541",,,,,,,,,,,,8,541,,"1, 2, 3, 4, 5, 6, 7, 8","12, 2, 9, 40, 133, 174, 246, 541"
18,6,54,,,,65+,6,84,,"594, 1526, 302, 287, 217, 205, 153, 84",,,,,,,2,"13, 34, 7, 6, 5, 5, 3, 2",,,,,,,,,15,35221,"4910, 4780, 4911, 4964, 10370, 10927, 11589, 14150, 35221",,,,,,,,,9,522,,"1, 2, 3, 4, 5, 6, 7, 8, 9","12, 2, 9, 40, 133, 174, 246, 541, 522",,,,,,,,,,,,9,522,,"1, 2, 3, 4, 5, 6, 7, 8, 9","12, 2, 9, 40, 133, 174, 246, 541, 522"
18,10,53,,,,65+,7,49,,"594, 1526, 302, 287, 217, 205, 153, 84, 49",,,,,,,1,"13, 34, 7, 6, 5, 5, 3, 2, 1",,,,,,,,,16,14237,"4910, 4780, 4911, 4964, 10370, 10927, 11589, 14150, 35221, 14237",,,,,,,,,10,1218,,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10","12, 2, 9, 40, 133, 174, 246, 541, 522, 1218",,,,,,,,,,,,10,1218,,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10","12, 2, 9, 40, 133, 174, 246, 541, 522, 1218"
18,8,47,,,,65+,8,70,,"594, 1526, 302, 287, 217, 205, 153, 84, 49, 70",,,,,,,2,"13, 34, 7, 6, 5, 5, 3, 2, 1, 2",,,,,,,,,17,4484,"4910, 4780, 4911, 4964, 10370, 10927, 11589, 14150, 35221, 14237, 4484",,,,,,,,,11,1073,,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11","12, 2, 9, 40, 133, 174, 246, 541, 522, 1218, 1073",,,,,,,,,,,,11,1073,,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11","12, 2, 9, 40, 133, 174, 246, 541, 522, 1218, 1073"
18,7,41,,,,65+,9,20,,"594, 1526, 302, 287, 217, 205, 153, 84, 49, 70, 20",,,,,,,0,"13, 34, 7, 6, 5, 5, 3, 2, 1, 2, 0",,,,,,,,,,,,,,,,,,,,12,4196,,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12","12, 2, 9, 40, 133, 174, 246, 541, 522, 1218, 1073, 4196",,,,,,,,,,,,12,4196,,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12","12, 2, 9, 40, 133, 174, 246, 541, 522, 1218, 1073, 4196"
18,9,19,,,,65+,10,110,,"594, 1526, 302, 287, 217, 205, 153, 84, 49, 70, 20, 110",,,,,,,2,"13, 34, 7, 6, 5, 5, 3, 2, 1, 2, 0, 2",,,,,,,,,,,"4910, 4780, 4911, 4964, 10370, 10927, 11589, 14150, 35221, 14237, 4484",,,,,,,,,13,4091,,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13","12, 2, 9, 40, 133, 174, 246, 541, 522, 1218, 1073, 4196, 4091",,,,,,,,,,,,13,4091,,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13","12, 2, 9, 40, 133, 174, 246, 541, 522, 1218, 1073, 4196, 4091"
18,15,19,,,,65+,11,4,,"594, 1526, 302, 287, 217, 205, 153, 84, 49, 70, 20, 110, 4",,,,,,,0,"13, 34, 7, 6, 5, 5, 3, 2, 1, 2, 0, 2, 0",,,,,,,,,,,,,,,,,,,,14,5235,,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14","12, 2, 9, 40, 133, 174, 246, 541, 522, 1218, 1073, 4196, 4091, 5235",,,,,,,,,,,,14,5235,,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14","12, 2, 9, 40, 133, 174, 246, 541, 522, 1218, 1073, 4196, 4091, 5235"
18,12,16,,,,65+,12,66,,"594, 1526, 302, 287, 217, 205, 153, 84, 49, 70, 20, 110, 4, 66",,,,,,,1,"13, 34, 7, 6, 5, 5, 3, 2, 1, 2, 0, 2, 0, 1",,,,,,,,,,,,,,,,,,,,15,7044,,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15","12, 2, 9, 40, 133, 174, 246, 541, 522, 1218, 1073, 4196, 4091, 5235, 7044",,,,,,,,,,,,15,7044,,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15","12, 2, 9, 40, 133, 174, 246, 541, 522, 1218, 1073, 4196, 4091, 5235, 7044"
