,SUBSTANCE,TOTAL,LIKELY,NOT_LIKELY,LIKELY_%,NOT_LIKELY_%
0,MARIJUANA,120543,58360,62183,48.4142588122081,51.58574118779191
1,COCAINE,120543,13506,107037,11.204300540056247,88.79569945994376
2,CRACK,120543,2041,118502,1.6931717312494297,98.30682826875056
3,HEROINE,120543,1018,119525,0.8445119169093187,99.15548808309069
4,METH,120543,4087,116456,3.390491359929652,96.60950864007035
5,PAIN_RELIEVER,120543,74530,46013,61.82855910339049,38.17144089660951
6,TRANQUILISER,120543,23698,96845,19.659374662983335,80.34062533701668
7,STIMULANTS,120543,16404,104139,13.60842189094348,86.39157810905652
8,SEDATIVES,120543,13552,106991,11.242461196419535,88.75753880358046
9,HALLUCIOGENS,120543,102709,17834,85.20527944384992,14.794720556150088
10,INHALENTS,120543,109720,10823,91.02146122130692,8.97853877869308
